INSTANCE;SEMILLA;Z;TIME
A173-P130-R6-B7-L5-T14-C0.1;4363;5;8
A173-P130-R6-B7-L5-T14-C0.1;2499;5;7
A173-P130-R6-B7-L5-T14-C0.1;2877;5;8
A173-P130-R6-B7-L5-T14-C0.1;5989;5;16
A173-P130-R6-B7-L5-T14-C0.1;1850;5;8
A173-P130-R6-B7-L5-T14-C0.1;5917;5;8
A173-P130-R6-B7-L5-T14-C0.1;7847;5;6
A173-P130-R6-B7-L5-T14-C0.2;8355;15;8
A173-P130-R6-B7-L5-T14-C0.2;3717;15;6
A173-P130-R6-B7-L5-T14-C0.2;5877;15;6
A173-P130-R6-B7-L5-T14-C0.2;2829;15;6
A173-P130-R6-B7-L5-T14-C0.2;2339;15;8
A173-P130-R6-B7-L5-T14-C0.2;9845;15;7
A173-P130-R6-B7-L5-T14-C0.2;233;15;6
A173-P130-R6-B7-L5-T14-C0.2;4263;15;6
A173-P130-R6-B7-L5-T14-C0.2;2618;15;6
A173-P130-R6-B7-L5-T14-C0.2;9965;15;9
A173-P130-R6-B7-L5-T14-C0.2;1624;15;6
A173-P130-R6-B7-L5-T14-C0.2;5707;15;8
A173-P130-R6-B7-L5-T14-C0.2;2842;15;8
A173-P130-R6-B7-L5-T14-C0.2;130;15;6
A173-P130-R6-B7-L5-T14-C0.2;252;15;7
A173-P130-R6-B7-L5-T14-C0.2;9914;15;8
A173-P130-R6-B7-L5-T14-C0.2;8323;15;10
A173-P130-R6-B7-L5-T14-C0.2;9375;15;6
A173-P130-R6-B7-L5-T14-C0.2;4363;15;8
A173-P130-R6-B7-L5-T14-C0.2;2499;15;9
A173-P130-R6-B7-L5-T14-C0.2;2877;15;7
A173-P130-R6-B7-L5-T14-C0.2;5989;15;7
A173-P130-R6-B7-L5-T14-C0.2;1850;15;6
A173-P130-R6-B7-L5-T14-C0.2;5917;15;6
A173-P130-R6-B7-L5-T14-C0.2;7847;15;7
A173-P130-R6-B7-L5-T14-C0.3;8355;5039;7
A173-P130-R6-B7-L5-T14-C0.3;3717;5039;6
A173-P130-R6-B7-L5-T14-C0.3;5877;5039;8
A173-P130-R6-B7-L5-T14-C0.3;2829;5039;7
A173-P130-R6-B7-L5-T14-C0.3;2339;5039;6
A173-P130-R6-B7-L5-T14-C0.3;9845;5039;7
A173-P130-R6-B7-L5-T14-C0.3;233;5039;6
A173-P130-R6-B7-L5-T14-C0.3;4263;5039;6
A173-P130-R6-B7-L5-T14-C0.3;2618;5039;6
A173-P130-R6-B7-L5-T14-C0.3;9965;5039;6
A173-P130-R6-B7-L5-T14-C0.3;1624;5039;6
A173-P130-R6-B7-L5-T14-C0.3;5707;5039;8
A173-P130-R6-B7-L5-T14-C0.3;2842;5039;8
A173-P130-R6-B7-L5-T14-C0.3;130;5039;8
A173-P130-R6-B7-L5-T14-C0.3;252;5039;6
A173-P130-R6-B7-L5-T14-C0.3;9914;5039;6
A173-P130-R6-B7-L5-T14-C0.3;8323;5039;6
A173-P130-R6-B7-L5-T14-C0.3;9375;5039;6
A173-P130-R6-B7-L5-T14-C0.3;4363;5039;7
A173-P130-R6-B7-L5-T14-C0.3;2499;5039;7
A173-P130-R6-B7-L5-T14-C0.3;2877;5039;6
A173-P130-R6-B7-L5-T14-C0.3;5989;5039;6
A173-P130-R6-B7-L5-T14-C0.3;1850;5039;6
A173-P130-R6-B7-L5-T14-C0.3;5917;5039;7
A173-P130-R6-B7-L5-T14-C0.3;7847;5039;6
A173-P130-R6-B9-L4-T14-C0.1;8355;175;5
A173-P130-R6-B9-L4-T14-C0.1;3717;175;5
A173-P130-R6-B9-L4-T14-C0.1;5877;175;5
A173-P130-R6-B9-L4-T14-C0.1;2829;175;5
