INSTANCE;SEMILLA;Z;TIME
A173-P150-R6-B7-L5-T14-C0.1;4263;37;6
A173-P150-R6-B7-L5-T14-C0.1;2618;37;7
A173-P150-R6-B7-L5-T14-C0.1;9965;37;6
A173-P150-R6-B7-L5-T14-C0.1;1624;37;8
A173-P150-R6-B7-L5-T14-C0.1;5707;37;8
A173-P150-R6-B7-L5-T14-C0.1;2842;37;6
A173-P150-R6-B7-L5-T14-C0.1;130;37;6
A173-P150-R6-B7-L5-T14-C0.1;252;37;6
A173-P150-R6-B7-L5-T14-C0.1;9914;37;6
A173-P150-R6-B7-L5-T14-C0.1;8323;37;6
A173-P150-R6-B7-L5-T14-C0.1;9375;37;9
A173-P150-R6-B7-L5-T14-C0.1;4363;37;6
A173-P150-R6-B7-L5-T14-C0.1;2499;37;6
A173-P150-R6-B7-L5-T14-C0.1;2877;37;6
A173-P150-R6-B7-L5-T14-C0.1;5989;37;6
A173-P150-R6-B7-L5-T14-C0.1;1850;37;6
A173-P150-R6-B7-L5-T14-C0.1;5917;37;6
A173-P150-R6-B7-L5-T14-C0.1;7847;37;7
A173-P150-R6-B7-L5-T14-C0.2;8355;166;7
A173-P150-R6-B7-L5-T14-C0.2;3717;166;8
A173-P150-R6-B7-L5-T14-C0.2;5877;166;6
A173-P150-R6-B7-L5-T14-C0.2;2829;166;6
A173-P150-R6-B7-L5-T14-C0.2;2339;166;6
A173-P150-R6-B7-L5-T14-C0.2;9845;166;8
A173-P150-R6-B7-L5-T14-C0.2;233;166;6
A173-P150-R6-B7-L5-T14-C0.2;4263;166;7
A173-P150-R6-B7-L5-T14-C0.2;2618;166;5
A173-P150-R6-B7-L5-T14-C0.2;9965;166;6
A173-P150-R6-B7-L5-T14-C0.2;1624;166;6
A173-P150-R6-B7-L5-T14-C0.2;5707;166;6
A173-P150-R6-B7-L5-T14-C0.2;2842;166;5
A173-P150-R6-B7-L5-T14-C0.2;130;166;6
A173-P150-R6-B7-L5-T14-C0.2;252;166;8
A173-P150-R6-B7-L5-T14-C0.2;9914;166;7
A173-P150-R6-B7-L5-T14-C0.2;8323;166;6
A173-P150-R6-B7-L5-T14-C0.2;9375;166;6
A173-P150-R6-B7-L5-T14-C0.2;4363;166;7
A173-P150-R6-B7-L5-T14-C0.2;2499;166;6
A173-P150-R6-B7-L5-T14-C0.2;2877;166;6
A173-P150-R6-B7-L5-T14-C0.2;5989;166;6
A173-P150-R6-B7-L5-T14-C0.2;1850;166;6
A173-P150-R6-B7-L5-T14-C0.2;5917;166;6
A173-P150-R6-B7-L5-T14-C0.2;7847;166;6
A173-P150-R6-B7-L5-T14-C0.3;8355;10102;6
A173-P150-R6-B7-L5-T14-C0.3;3717;10102;6
A173-P150-R6-B7-L5-T14-C0.3;5877;10103;6
A173-P150-R6-B7-L5-T14-C0.3;2829;10102;6
A173-P150-R6-B7-L5-T14-C0.3;2339;10102;7
A173-P150-R6-B7-L5-T14-C0.3;9845;10102;7
A173-P150-R6-B7-L5-T14-C0.3;233;10102;6
A173-P150-R6-B7-L5-T14-C0.3;4263;10102;6
A173-P150-R6-B7-L5-T14-C0.3;2618;10103;6
A173-P150-R6-B7-L5-T14-C0.3;9965;10102;6
A173-P150-R6-B7-L5-T14-C0.3;1624;10102;6
A173-P150-R6-B7-L5-T14-C0.3;5707;10102;5
A173-P150-R6-B7-L5-T14-C0.3;2842;10102;6
A173-P150-R6-B7-L5-T14-C0.3;130;10103;6
A173-P150-R6-B7-L5-T14-C0.3;252;10102;6
A173-P150-R6-B7-L5-T14-C0.3;9914;10102;5
A173-P150-R6-B7-L5-T14-C0.3;8323;10102;6
A173-P150-R6-B7-L5-T14-C0.3;9375;10102;6
A173-P150-R6-B7-L5-T14-C0.3;4363;10103;6
A173-P150-R6-B7-L5-T14-C0.3;2499;10102;6
A173-P150-R6-B7-L5-T14-C0.3;2877;10102;6
A173-P150-R6-B7-L5-T14-C0.3;5989;10102;6
A173-P150-R6-B7-L5-T14-C0.3;1850;10102;6
A173-P150-R6-B7-L5-T14-C0.3;5917;10102;6
A173-P150-R6-B7-L5-T14-C0.3;7847;10103;5
A173-P150-R6-B9-L4-T14-C0.1;8355;32;5
A173-P150-R6-B9-L4-T14-C0.1;3717;32;7
A173-P150-R6-B9-L4-T14-C0.1;5877;32;7
A173-P150-R6-B9-L4-T14-C0.1;2829;32;5
A173-P150-R6-B9-L4-T14-C0.1;2339;32;5
A173-P150-R6-B9-L4-T14-C0.1;9845;32;5
A173-P150-R6-B9-L4-T14-C0.1;233;32;5
A173-P150-R6-B9-L4-T14-C0.1;4263;32;5
A173-P150-R6-B9-L4-T14-C0.1;2618;32;5
A173-P150-R6-B9-L4-T14-C0.1;9965;32;8
A173-P150-R6-B9-L4-T14-C0.1;1624;32;19
A173-P150-R6-B9-L4-T14-C0.1;5707;32;13
A173-P150-R6-B9-L4-T14-C0.1;2842;32;13
A173-P150-R6-B9-L4-T14-C0.1;130;32;9
A173-P150-R6-B9-L4-T14-C0.1;252;32;11
A173-P150-R6-B9-L4-T14-C0.1;9914;32;9
A173-P150-R6-B9-L4-T14-C0.1;8323;32;11
A173-P150-R6-B9-L4-T14-C0.1;9375;32;11
A173-P150-R6-B9-L4-T14-C0.1;4363;32;9
A173-P150-R6-B9-L4-T14-C0.1;2499;32;11
A173-P150-R6-B9-L4-T14-C0.1;2877;32;7
A173-P150-R6-B9-L4-T14-C0.1;5989;32;8
A173-P150-R6-B9-L4-T14-C0.1;1850;32;7
A173-P150-R6-B9-L4-T14-C0.1;5917;32;5
A173-P150-R6-B9-L4-T14-C0.1;7847;32;5
A173-P150-R6-B9-L4-T14-C0.2;8355;261;7
A173-P150-R6-B9-L4-T14-C0.2;3717;261;5
A173-P150-R6-B9-L4-T14-C0.2;5877;261;5
A173-P150-R6-B9-L4-T14-C0.2;2829;261;5
A173-P150-R6-B9-L4-T14-C0.2;2339;261;5
A173-P150-R6-B9-L4-T14-C0.2;9845;261;7
A173-P150-R6-B9-L4-T14-C0.2;233;261;5
A173-P150-R6-B9-L4-T14-C0.2;4263;261;5
A173-P150-R6-B9-L4-T14-C0.2;2618;261;7
A173-P150-R6-B9-L4-T14-C0.2;9965;261;5
A173-P150-R6-B9-L4-T14-C0.2;1624;261;5
A173-P150-R6-B9-L4-T14-C0.2;5707;261;6
A173-P150-R6-B9-L4-T14-C0.2;2842;261;5
A173-P150-R6-B9-L4-T14-C0.2;130;261;5
A173-P150-R6-B9-L4-T14-C0.2;252;261;5
A173-P150-R6-B9-L4-T14-C0.2;9914;261;5
A173-P150-R6-B9-L4-T14-C0.2;8323;261;5
A173-P150-R6-B9-L4-T14-C0.2;9375;261;6
A173-P150-R6-B9-L4-T14-C0.2;4363;261;6
A173-P150-R6-B9-L4-T14-C0.2;2499;261;5
A173-P150-R6-B9-L4-T14-C0.2;2877;261;5
A173-P150-R6-B9-L4-T14-C0.2;5989;261;5
A173-P150-R6-B9-L4-T14-C0.2;1850;261;5
A173-P150-R6-B9-L4-T14-C0.2;5917;261;5
A173-P150-R6-B9-L4-T14-C0.2;7847;261;5
A173-P150-R6-B9-L4-T14-C0.3;8355;8153;5
A173-P150-R6-B9-L4-T14-C0.3;3717;8153;5
A173-P150-R6-B9-L4-T14-C0.3;5877;8152;5
A173-P150-R6-B9-L4-T14-C0.3;2829;8152;6
A173-P150-R6-B9-L4-T14-C0.3;2339;8152;5
A173-P150-R6-B9-L4-T14-C0.3;9845;8152;5
A173-P150-R6-B9-L4-T14-C0.3;233;8152;5
A173-P150-R6-B9-L4-T14-C0.3;4263;8152;5
A173-P150-R6-B9-L4-T14-C0.3;2618;8152;5
A173-P150-R6-B9-L4-T14-C0.3;9965;8152;6
A173-P150-R6-B9-L4-T14-C0.3;1624;8152;6
A173-P150-R6-B9-L4-T14-C0.3;5707;8152;5
A173-P150-R6-B9-L4-T14-C0.3;2842;8152;5
A173-P150-R6-B9-L4-T14-C0.3;130;8152;5
A173-P150-R6-B9-L4-T14-C0.3;252;8152;5
A173-P150-R6-B9-L4-T14-C0.3;9914;8152;5
A173-P150-R6-B9-L4-T14-C0.3;8323;8152;5
A173-P150-R6-B9-L4-T14-C0.3;9375;8152;5
A173-P150-R6-B9-L4-T14-C0.3;4363;8152;5
A173-P150-R6-B9-L4-T14-C0.3;2499;8152;5
A173-P150-R6-B9-L4-T14-C0.3;2877;8153;5
A173-P150-R6-B9-L4-T14-C0.3;5989;8152;5
A173-P150-R6-B9-L4-T14-C0.3;1850;8152;5
A173-P150-R6-B9-L4-T14-C0.3;5917;8152;5
A173-P150-R6-B9-L4-T14-C0.3;7847;8152;7
A173-P150-R7-B6-L5-T14-C0.1;8355;15;9
A173-P150-R7-B6-L5-T14-C0.1;3717;15;8
A173-P150-R7-B6-L5-T14-C0.1;5877;15;9
A173-P150-R7-B6-L5-T14-C0.1;2829;15;7
A173-P150-R7-B6-L5-T14-C0.1;2339;15;8
A173-P150-R7-B6-L5-T14-C0.1;9845;15;7
A173-P150-R7-B6-L5-T14-C0.1;233;15;8
A173-P150-R7-B6-L5-T14-C0.1;4263;15;8
A173-P150-R7-B6-L5-T14-C0.1;2618;15;8
A173-P150-R7-B6-L5-T14-C0.1;9965;15;8
A173-P150-R7-B6-L5-T14-C0.1;1624;15;8
A173-P150-R7-B6-L5-T14-C0.1;5707;15;7
A173-P150-R7-B6-L5-T14-C0.1;2842;15;9
A173-P150-R7-B6-L5-T14-C0.1;130;15;8
A173-P150-R7-B6-L5-T14-C0.1;252;15;9
A173-P150-R7-B6-L5-T14-C0.1;9914;15;7
A173-P150-R7-B6-L5-T14-C0.1;8323;15;8
A173-P150-R7-B6-L5-T14-C0.1;9375;15;8
A173-P150-R7-B6-L5-T14-C0.1;4363;15;9
A173-P150-R7-B6-L5-T14-C0.1;2499;15;8
A173-P150-R7-B6-L5-T14-C0.1;2877;15;9
A173-P150-R7-B6-L5-T14-C0.1;5989;15;8
A173-P150-R7-B6-L5-T14-C0.1;1850;15;8
A173-P150-R7-B6-L5-T14-C0.1;5917;15;7
A173-P150-R7-B6-L5-T14-C0.1;7847;15;7
A173-P150-R7-B6-L5-T14-C0.2;8355;42;9
A173-P150-R7-B6-L5-T14-C0.2;3717;42;8
A173-P150-R7-B6-L5-T14-C0.2;5877;42;8
A173-P150-R7-B6-L5-T14-C0.2;2829;42;7
A173-P150-R7-B6-L5-T14-C0.2;2339;42;8
A173-P150-R7-B6-L5-T14-C0.2;9845;42;8
A173-P150-R7-B6-L5-T14-C0.2;233;42;7
A173-P150-R7-B6-L5-T14-C0.2;4263;42;8
A173-P150-R7-B6-L5-T14-C0.2;2618;42;7
A173-P150-R7-B6-L5-T14-C0.2;9965;42;8
A173-P150-R7-B6-L5-T14-C0.2;1624;42;7
A173-P150-R7-B6-L5-T14-C0.2;5707;42;8
A173-P150-R7-B6-L5-T14-C0.2;2842;42;9
A173-P150-R7-B6-L5-T14-C0.2;130;42;8
A173-P150-R7-B6-L5-T14-C0.2;252;42;7
A173-P150-R7-B6-L5-T14-C0.2;9914;42;8
A173-P150-R7-B6-L5-T14-C0.2;8323;42;7
A173-P150-R7-B6-L5-T14-C0.2;9375;42;8
A173-P150-R7-B6-L5-T14-C0.2;4363;42;7
A173-P150-R7-B6-L5-T14-C0.2;2499;42;8
A173-P150-R7-B6-L5-T14-C0.2;2877;42;7
A173-P150-R7-B6-L5-T14-C0.2;5989;42;8
A173-P150-R7-B6-L5-T14-C0.2;1850;42;7
A173-P150-R7-B6-L5-T14-C0.2;5917;42;8
A173-P150-R7-B6-L5-T14-C0.2;7847;42;8
A173-P150-R7-B6-L5-T14-C0.3;8355;10121;7
A173-P150-R7-B6-L5-T14-C0.3;3717;10121;7
A173-P150-R7-B6-L5-T14-C0.3;5877;10121;7
A173-P150-R7-B6-L5-T14-C0.3;2829;10121;8
A173-P150-R7-B6-L5-T14-C0.3;2339;10121;8
A173-P150-R7-B6-L5-T14-C0.3;9845;10121;10
A173-P150-R7-B6-L5-T14-C0.3;233;10121;9
A173-P150-R7-B6-L5-T14-C0.3;4263;10121;7
A173-P150-R7-B6-L5-T14-C0.3;2618;10121;8
A173-P150-R7-B6-L5-T14-C0.3;9965;10121;7
A173-P150-R7-B6-L5-T14-C0.3;1624;10121;9
A173-P150-R7-B6-L5-T14-C0.3;5707;10121;8
A173-P150-R7-B6-L5-T14-C0.3;2842;10121;8
A173-P150-R7-B6-L5-T14-C0.3;130;10121;7
A173-P150-R7-B6-L5-T14-C0.3;252;10121;9
A173-P150-R7-B6-L5-T14-C0.3;9914;10121;7
A173-P150-R7-B6-L5-T14-C0.3;8323;10121;7
A173-P150-R7-B6-L5-T14-C0.3;9375;10122;7
A173-P150-R7-B6-L5-T14-C0.3;4363;10121;8
A173-P150-R7-B6-L5-T14-C0.3;2499;10121;7
A173-P150-R7-B6-L5-T14-C0.3;2877;10121;8
A173-P150-R7-B6-L5-T14-C0.3;5989;10121;8
A173-P150-R7-B6-L5-T14-C0.3;1850;10121;9
A173-P150-R7-B6-L5-T14-C0.3;5917;10121;10
A173-P150-R7-B6-L5-T14-C0.3;7847;10121;8
A173-P150-R9-B6-L4-T14-C0.1;8355;22;11
A173-P150-R9-B6-L4-T14-C0.1;3717;22;12
A173-P150-R9-B6-L4-T14-C0.1;5877;22;12
A173-P150-R9-B6-L4-T14-C0.1;2829;22;11
A173-P150-R9-B6-L4-T14-C0.1;2339;22;12
A173-P150-R9-B6-L4-T14-C0.1;9845;22;12
A173-P150-R9-B6-L4-T14-C0.1;233;22;11
A173-P150-R9-B6-L4-T14-C0.1;4263;22;11
A173-P150-R9-B6-L4-T14-C0.1;2618;22;12
A173-P150-R9-B6-L4-T14-C0.1;9965;22;11
A173-P150-R9-B6-L4-T14-C0.1;1624;22;11
A173-P150-R9-B6-L4-T14-C0.1;5707;22;10
A173-P150-R9-B6-L4-T14-C0.1;2842;22;11
A173-P150-R9-B6-L4-T14-C0.1;130;22;11
A173-P150-R9-B6-L4-T14-C0.1;252;22;11
A173-P150-R9-B6-L4-T14-C0.1;9914;22;10
A173-P150-R9-B6-L4-T14-C0.1;8323;22;11
A173-P150-R9-B6-L4-T14-C0.1;9375;22;11
A173-P150-R9-B6-L4-T14-C0.1;4363;22;11
A173-P150-R9-B6-L4-T14-C0.1;2499;22;10
A173-P150-R9-B6-L4-T14-C0.1;2877;22;11
A173-P150-R9-B6-L4-T14-C0.1;5989;22;12
A173-P150-R9-B6-L4-T14-C0.1;1850;22;11
A173-P150-R9-B6-L4-T14-C0.1;5917;22;11
A173-P150-R9-B6-L4-T14-C0.1;7847;22;11
A173-P150-R9-B6-L4-T14-C0.2;8355;21;11
A173-P150-R9-B6-L4-T14-C0.2;3717;21;11
A173-P150-R9-B6-L4-T14-C0.2;5877;21;10
A173-P150-R9-B6-L4-T14-C0.2;2829;21;11
A173-P150-R9-B6-L4-T14-C0.2;2339;21;10
A173-P150-R9-B6-L4-T14-C0.2;9845;21;11
A173-P150-R9-B6-L4-T14-C0.2;233;21;10
A173-P150-R9-B6-L4-T14-C0.2;4263;21;12
A173-P150-R9-B6-L4-T14-C0.2;2618;21;11
A173-P150-R9-B6-L4-T14-C0.2;9965;22;11
A173-P150-R9-B6-L4-T14-C0.2;1624;21;12
A173-P150-R9-B6-L4-T14-C0.2;5707;21;11
A173-P150-R9-B6-L4-T14-C0.2;2842;21;12
A173-P150-R9-B6-L4-T14-C0.2;130;21;10
A173-P150-R9-B6-L4-T14-C0.2;252;21;12
A173-P150-R9-B6-L4-T14-C0.2;9914;21;11
A173-P150-R9-B6-L4-T14-C0.2;8323;21;10
A173-P150-R9-B6-L4-T14-C0.2;9375;21;11
A173-P150-R9-B6-L4-T14-C0.2;4363;21;10
A173-P150-R9-B6-L4-T14-C0.2;2499;21;11
A173-P150-R9-B6-L4-T14-C0.2;2877;21;12
A173-P150-R9-B6-L4-T14-C0.2;5989;21;11
A173-P150-R9-B6-L4-T14-C0.2;1850;21;11
A173-P150-R9-B6-L4-T14-C0.2;5917;21;11
A173-P150-R9-B6-L4-T14-C0.2;7847;21;11
A173-P150-R9-B6-L4-T14-C0.3;8355;4176;13
A173-P150-R9-B6-L4-T14-C0.3;3717;8175;13
A173-P150-R9-B6-L4-T14-C0.3;5877;4175;11
A173-P150-R9-B6-L4-T14-C0.3;2829;4176;11
A173-P150-R9-B6-L4-T14-C0.3;2339;4176;11
A173-P150-R9-B6-L4-T14-C0.3;9845;8175;12
A173-P150-R9-B6-L4-T14-C0.3;233;4175;13
A173-P150-R9-B6-L4-T14-C0.3;4263;4176;13
A173-P150-R9-B6-L4-T14-C0.3;2618;4175;12
A173-P150-R9-B6-L4-T14-C0.3;9965;4175;11
A173-P150-R9-B6-L4-T14-C0.3;1624;4175;11
A173-P150-R9-B6-L4-T14-C0.3;5707;8176;14
A173-P150-R9-B6-L4-T14-C0.3;2842;4176;13
A173-P150-R9-B6-L4-T14-C0.3;130;8175;12
A173-P150-R9-B6-L4-T14-C0.3;252;4176;12
A173-P150-R9-B6-L4-T14-C0.3;9914;4176;11
A173-P150-R9-B6-L4-T14-C0.3;8323;4176;11
A173-P150-R9-B6-L4-T14-C0.3;9375;4176;13
A173-P150-R9-B6-L4-T14-C0.3;4363;4176;11
A173-P150-R9-B6-L4-T14-C0.3;2499;4175;14
A173-P150-R9-B6-L4-T14-C0.3;2877;4175;11
A173-P150-R9-B6-L4-T14-C0.3;5989;8175;11
A173-P150-R9-B6-L4-T14-C0.3;1850;4175;12
A173-P150-R9-B6-L4-T14-C0.3;5917;4175;13
A173-P150-R9-B6-L4-T14-C0.3;7847;4175;11
A173-P170-R5-B8-L5-T14-C0.1;8355;40;6
A173-P170-R5-B8-L5-T14-C0.1;3717;40;5
A173-P170-R5-B8-L5-T14-C0.1;5877;40;6
A173-P170-R5-B8-L5-T14-C0.1;2829;40;5
A173-P170-R5-B8-L5-T14-C0.1;2339;40;4
A173-P170-R5-B8-L5-T14-C0.1;9845;40;5
A173-P170-R5-B8-L5-T14-C0.1;233;40;4
A173-P170-R5-B8-L5-T14-C0.1;4263;40;5
A173-P170-R5-B8-L5-T14-C0.1;2618;40;6
A173-P170-R5-B8-L5-T14-C0.1;9965;40;5
A173-P170-R5-B8-L5-T14-C0.1;1624;40;5
A173-P170-R5-B8-L5-T14-C0.1;5707;40;4
A173-P170-R5-B8-L5-T14-C0.1;2842;40;5
A173-P170-R5-B8-L5-T14-C0.1;130;40;5
A173-P170-R5-B8-L5-T14-C0.1;252;40;5
A173-P170-R5-B8-L5-T14-C0.1;9914;40;4
A173-P170-R5-B8-L5-T14-C0.1;8323;40;5
A173-P170-R5-B8-L5-T14-C0.1;9375;40;5
A173-P170-R5-B8-L5-T14-C0.1;4363;40;5
A173-P170-R5-B8-L5-T14-C0.1;2499;40;5
A173-P170-R5-B8-L5-T14-C0.1;2877;40;5
A173-P170-R5-B8-L5-T14-C0.1;5989;40;5
A173-P170-R5-B8-L5-T14-C0.1;1850;40;5
A173-P170-R5-B8-L5-T14-C0.1;5917;40;5
A173-P170-R5-B8-L5-T14-C0.1;7847;40;8
A173-P170-R5-B8-L5-T14-C0.2;8355;41;5
A173-P170-R5-B8-L5-T14-C0.2;3717;41;5
A173-P170-R5-B8-L5-T14-C0.2;5877;41;6
A173-P170-R5-B8-L5-T14-C0.2;2829;41;7
A173-P170-R5-B8-L5-T14-C0.2;2339;41;7
A173-P170-R5-B8-L5-T14-C0.2;9845;41;6
A173-P170-R5-B8-L5-T14-C0.2;233;41;5
A173-P170-R5-B8-L5-T14-C0.2;4263;41;6
A173-P170-R5-B8-L5-T14-C0.2;2618;41;5
A173-P170-R5-B8-L5-T14-C0.2;9965;41;5
A173-P170-R5-B8-L5-T14-C0.2;1624;41;6
A173-P170-R5-B8-L5-T14-C0.2;5707;41;5
A173-P170-R5-B8-L5-T14-C0.2;2842;41;6
A173-P170-R5-B8-L5-T14-C0.2;130;41;6
A173-P170-R5-B8-L5-T14-C0.2;252;41;5
A173-P170-R5-B8-L5-T14-C0.2;9914;41;5
A173-P170-R5-B8-L5-T14-C0.2;8323;41;5
A173-P170-R5-B8-L5-T14-C0.2;9375;41;6
A173-P170-R5-B8-L5-T14-C0.2;4363;41;5
A173-P170-R5-B8-L5-T14-C0.2;2499;41;5
A173-P170-R5-B8-L5-T14-C0.2;2877;41;5
A173-P170-R5-B8-L5-T14-C0.2;5989;41;5
A173-P170-R5-B8-L5-T14-C0.2;1850;41;5
A173-P170-R5-B8-L5-T14-C0.2;5917;41;6
A173-P170-R5-B8-L5-T14-C0.2;7847;41;5
A173-P170-R5-B8-L5-T14-C0.3;8355;10063;5
A173-P170-R5-B8-L5-T14-C0.3;3717;10063;7
A173-P170-R5-B8-L5-T14-C0.3;5877;10065;5
A173-P170-R5-B8-L5-T14-C0.3;2829;10063;5
A173-P170-R5-B8-L5-T14-C0.3;2339;10064;5
A173-P170-R5-B8-L5-T14-C0.3;9845;10064;5
A173-P170-R5-B8-L5-T14-C0.3;233;10064;5
A173-P170-R5-B8-L5-T14-C0.3;4263;10064;6
A173-P170-R5-B8-L5-T14-C0.3;2618;10064;5
A173-P170-R5-B8-L5-T14-C0.3;9965;10064;5
A173-P170-R5-B8-L5-T14-C0.3;1624;10064;5
A173-P170-R5-B8-L5-T14-C0.3;5707;10064;4
A173-P170-R5-B8-L5-T14-C0.3;2842;10064;5
A173-P170-R5-B8-L5-T14-C0.3;130;10064;6
A173-P170-R5-B8-L5-T14-C0.3;252;10064;6
A173-P170-R5-B8-L5-T14-C0.3;9914;10063;5
A173-P170-R5-B8-L5-T14-C0.3;8323;10065;5
A173-P170-R5-B8-L5-T14-C0.3;9375;10064;6
A173-P170-R5-B8-L5-T14-C0.3;4363;10063;5
A173-P170-R5-B8-L5-T14-C0.3;2499;10063;5
A173-P170-R5-B8-L5-T14-C0.3;2877;10064;4
A173-P170-R5-B8-L5-T14-C0.3;5989;10064;6
A173-P170-R5-B8-L5-T14-C0.3;1850;10064;5
A173-P170-R5-B8-L5-T14-C0.3;5917;10063;5
A173-P170-R5-B8-L5-T14-C0.3;7847;10065;5
A173-P170-R6-B7-L5-T14-C0.1;8355;21;6
A173-P170-R6-B7-L5-T14-C0.1;3717;21;8
A173-P170-R6-B7-L5-T14-C0.1;5877;21;8
A173-P170-R6-B7-L5-T14-C0.1;2829;21;6
A173-P170-R6-B7-L5-T14-C0.1;2339;21;6
A173-P170-R6-B7-L5-T14-C0.1;9845;21;6
A173-P170-R6-B7-L5-T14-C0.1;233;21;7
A173-P170-R6-B7-L5-T14-C0.1;4263;21;6
A173-P170-R6-B7-L5-T14-C0.1;2618;21;6
A173-P170-R6-B7-L5-T14-C0.1;9965;21;7
A173-P170-R6-B7-L5-T14-C0.1;1624;21;6
A173-P170-R6-B7-L5-T14-C0.1;5707;21;7
A173-P170-R6-B7-L5-T14-C0.1;2842;21;6
A173-P170-R6-B7-L5-T14-C0.1;130;21;6
A173-P170-R6-B7-L5-T14-C0.1;252;21;7
A173-P170-R6-B7-L5-T14-C0.1;9914;21;6
A173-P170-R6-B7-L5-T14-C0.1;8323;21;7
A173-P170-R6-B7-L5-T14-C0.1;9375;21;6
A173-P170-R6-B7-L5-T14-C0.1;4363;21;7
A173-P170-R6-B7-L5-T14-C0.1;2499;21;6
A173-P170-R6-B7-L5-T14-C0.1;2877;21;6
A173-P170-R6-B7-L5-T14-C0.1;5989;21;8
A173-P170-R6-B7-L5-T14-C0.1;1850;21;6
A173-P170-R6-B7-L5-T14-C0.1;5917;21;8
A173-P170-R6-B7-L5-T14-C0.1;7847;21;7
A173-P170-R6-B7-L5-T14-C0.2;8355;52;6
A173-P170-R6-B7-L5-T14-C0.2;3717;52;6
A173-P170-R6-B7-L5-T14-C0.2;5877;52;6
A173-P170-R6-B7-L5-T14-C0.2;2829;52;7
A173-P170-R6-B7-L5-T14-C0.2;2339;52;7
A173-P170-R6-B7-L5-T14-C0.2;9845;52;8
A173-P170-R6-B7-L5-T14-C0.2;233;52;6
A173-P170-R6-B7-L5-T14-C0.2;4263;52;6
A173-P170-R6-B7-L5-T14-C0.2;2618;52;6
A173-P170-R6-B7-L5-T14-C0.2;9965;52;6
A173-P170-R6-B7-L5-T14-C0.2;1624;52;6
A173-P170-R6-B7-L5-T14-C0.2;5707;52;7
A173-P170-R6-B7-L5-T14-C0.2;2842;52;6
A173-P170-R6-B7-L5-T14-C0.2;130;52;7
A173-P170-R6-B7-L5-T14-C0.2;252;52;9
A173-P170-R6-B7-L5-T14-C0.2;9914;52;6
A173-P170-R6-B7-L5-T14-C0.2;8323;52;6
A173-P170-R6-B7-L5-T14-C0.2;9375;52;6
A173-P170-R6-B7-L5-T14-C0.2;4363;52;7
A173-P170-R6-B7-L5-T14-C0.2;2499;52;6
A173-P170-R6-B7-L5-T14-C0.2;2877;52;6
A173-P170-R6-B7-L5-T14-C0.2;5989;52;7
A173-P170-R6-B7-L5-T14-C0.2;1850;52;6
A173-P170-R6-B7-L5-T14-C0.2;5917;52;6
A173-P170-R6-B7-L5-T14-C0.2;7847;52;6
A173-P170-R6-B7-L5-T14-C0.3;8355;10032;6
A173-P170-R6-B7-L5-T14-C0.3;3717;10032;6
A173-P170-R6-B7-L5-T14-C0.3;5877;10032;6
A173-P170-R6-B7-L5-T14-C0.3;2829;10032;6
A173-P170-R6-B7-L5-T14-C0.3;2339;10032;5
A173-P170-R6-B7-L5-T14-C0.3;9845;10032;7
A173-P170-R6-B7-L5-T14-C0.3;233;10032;6
A173-P170-R6-B7-L5-T14-C0.3;4263;10032;6
A173-P170-R6-B7-L5-T14-C0.3;2618;10032;6
A173-P170-R6-B7-L5-T14-C0.3;9965;10032;6
A173-P170-R6-B7-L5-T14-C0.3;1624;10032;6
A173-P170-R6-B7-L5-T14-C0.3;5707;10032;6
A173-P170-R6-B7-L5-T14-C0.3;2842;10032;6
A173-P170-R6-B7-L5-T14-C0.3;130;10032;6
A173-P170-R6-B7-L5-T14-C0.3;252;10032;6
A173-P170-R6-B7-L5-T14-C0.3;9914;10032;6
A173-P170-R6-B7-L5-T14-C0.3;8323;10032;6
A173-P170-R6-B7-L5-T14-C0.3;9375;10032;6
A173-P170-R6-B7-L5-T14-C0.3;4363;10032;6
A173-P170-R6-B7-L5-T14-C0.3;2499;10032;6
A173-P170-R6-B7-L5-T14-C0.3;2877;10032;6
A173-P170-R6-B7-L5-T14-C0.3;5989;10032;6
A173-P170-R6-B7-L5-T14-C0.3;1850;10032;6
A173-P170-R6-B7-L5-T14-C0.3;5917;10032;6
A173-P170-R6-B7-L5-T14-C0.3;7847;10032;6
A173-P170-R6-B9-L4-T14-C0.1;8355;76;5
A173-P170-R6-B9-L4-T14-C0.1;3717;76;5
A173-P170-R6-B9-L4-T14-C0.1;5877;76;7
A173-P170-R6-B9-L4-T14-C0.1;2829;76;6
A173-P170-R6-B9-L4-T14-C0.1;2339;76;5
A173-P170-R6-B9-L4-T14-C0.1;9845;76;5
A173-P170-R6-B9-L4-T14-C0.1;233;76;5
A173-P170-R6-B9-L4-T14-C0.1;4263;76;5
A173-P170-R6-B9-L4-T14-C0.1;2618;76;5
A173-P170-R6-B9-L4-T14-C0.1;9965;76;6
A173-P170-R6-B9-L4-T14-C0.1;1624;76;5
A173-P170-R6-B9-L4-T14-C0.1;5707;76;5
A173-P170-R6-B9-L4-T14-C0.1;2842;76;5
A173-P170-R6-B9-L4-T14-C0.1;130;76;5
A173-P170-R6-B9-L4-T14-C0.1;252;76;5
A173-P170-R6-B9-L4-T14-C0.1;9914;76;5
A173-P170-R6-B9-L4-T14-C0.1;8323;76;5
A173-P170-R6-B9-L4-T14-C0.1;9375;76;5
A173-P170-R6-B9-L4-T14-C0.1;4363;76;5
